title,company,location,source,job_type,seniority,is_remote,country,tech_stack
Japan Marketing Manager Remote,"Manta Network, Powered by p0x labs","Tokyo,Japan",web3.career,Marketing/Growth,Mid,False,Japan,[]
Vice President of Marketing Growth,Limit Break,"Tokyo,Japan",web3.career,Marketing/Growth,Mid,False,Japan,[]
PR KOL Specialist APAC,Binance,South East Asia,web3.career,Marketing/Growth,Mid,False,Other,[]
Public Relations Associate Asset Management,Serotonin,"New York,NY,United States",web3.career,Other,Mid,False,USA,[]
Wealth Product Campaign Management,Gate,APAC-C1,web3.career,Product Manager,Mid,False,Other,[]
Affiliate Manager – Crypto,Tradeify,Remote,web3.career,Other,Mid,True,Remote,[]
Content Marketing Manager Remote 100% Worldwide,Bitfinex,"London,United Kingdom",web3.career,Marketing/Growth,Mid,False,UK,[]
Product Marketing Manager,Rain,"New York,NY,United States",web3.career,Product Manager,Mid,False,USA,[]
Lifecycle Marketing Specialist,Bitso,MÃ©xico,web3.career,Marketing/Growth,Mid,False,Other,[]
Product Marketing Manager Deepbook,Mysten Labs,United States,web3.career,Product Manager,Mid,False,USA,[]
Lead Product Marketing Manager Onchain,Kraken,United States,web3.career,Product Manager,Lead,False,USA,[]
ASO Paid Search Manager Apple Search Ads Google Ads,Binance,"Taipei,Taiwan",web3.career,Other,Mid,False,Other,['go']
KOL Marketing Manager,Consensys,Remote,web3.career,Marketing/Growth,Mid,True,Remote,[]
Senior Permance Marketing Manager Crypto,Figure,Remote,web3.career,Marketing/Growth,Senior,True,Remote,[]
Senior Lifecycle Marketing Manager,Figure,Remote,web3.career,Marketing/Growth,Senior,True,Remote,[]
Lead Product Marketing Manager Crypto Products,Figure,Remote,web3.career,Product Manager,Lead,True,Remote,[]
Head of Crypto Partner and Field Marketing,Figure,Remote,web3.career,Marketing/Growth,Lead,True,Remote,[]
Relationship Manager,Copperco,Remote,web3.career,Other,Mid,True,Remote,[]
Growth Lead: Permance Marketing,Ether.fi,"Denver,CO,United States",web3.career,Marketing/Growth,Lead,False,USA,[]
Intern Marketing,Bitpanda,Remote,web3.career,Marketing/Growth,Junior,True,Remote,[]
Crypto Twitter Marketing Intern,Sei Labs,"New York,NY,United States",web3.career,Marketing/Growth,Junior,False,USA,[]
Marketing Project Manager 100% remote,Tether,"Lisboa,Portugal",web3.career,Marketing/Growth,Mid,False,Other,[]
Binance Accelerator Program Content Specialist,Binance,Europe,web3.career,Marketing/Growth,Mid,False,Other,[]
Influencer Marketing Specialist,Coins.ph,"Manila,Philippines",web3.career,Marketing/Growth,Mid,False,Other,[]
KOL Program Manager,Coins.ph,"Manila,Philippines",web3.career,Other,Mid,False,Other,[]
Associate Community Retention,Bitpanda,Remote,web3.career,Community,Mid,True,Remote,[]
Senior Specialist Product Marketing Crypto,Bitpanda,Remote,web3.career,Product Manager,Senior,True,Remote,[]
Staff Product Designer,OpenSea,Remote,web3.career,Product Manager,Senior,True,Remote,[]
Principal Product Designer,Figure,"Reno,NV,United States",web3.career,Product Manager,Senior,False,USA,[]
Trading Product Designer Web,Bitmex,Remote,web3.career,Product Manager,Mid,True,Remote,[]
Senior Product Manager Derivative Trading Growth UX,Bitmex,Remote,web3.career,Product Manager,Senior,True,Remote,[]
