title,company,location,source,job_type,seniority,is_remote,country,tech_stack,cluster
VP Client Operations,Copperco,Remote,web3.career,Other,Lead,True,Remote,,0
Client Operations Associate,Copperco,Remote,web3.career,Other,Mid,True,Remote,,0
Tax Manager,Copperco,Remote,web3.career,Other,Mid,True,Remote,,0
Technical Support Lead,Copperco,Remote,web3.career,Executive/Lead,Lead,True,Remote,,0
QA Engineer,Copperco,Remote,web3.career,QA/Testing,Mid,True,Remote,,0
Associate Software Engineer,Copperco,Remote,web3.career,Other,Mid,True,Remote,,0
Venture Analyst,Digitalcurrencygroup,Remote,web3.career,Research/Analyst,Mid,True,Remote,,0
Business Development Manager West,Dialecticch,Remote,web3.career,Other,Mid,True,Remote,,0
Credit Trader Prime Finance,Anchorage Digital,"Singapore,Singapore",web3.career,Other,Mid,False,Singapore,,3
Senior Web3 Frontend Engineer Lead,WeAreShovels.com,Remote,web3.career,Blockchain Developer,Senior,True,Remote,,0
Integration support agent,Wert,Remote,web3.career,Other,Mid,True,Remote,,0
Binance Accelerator Program Web3 AI,Binance,"Brisbane,Australia",web3.career,Other,Mid,False,Other,,0
Senior Product Operations Derivatives,Binance,"Taipei,Taiwan",web3.career,Product Manager,Senior,False,Other,,0
Front Office Risk Manager Crypto Credit Products DeFi F M D,Flowdesk,"New York,NY,United States",web3.career,DeFi Engineer,Mid,False,USA,,3
Country Head North America,Bitget Wallet,"New York,NY,United States",web3.career,Other,Lead,False,USA,,3
Senior Manager Digital Asset Business Risk Consulting,KPMG in the Cayman Islands,"New York,NY,United States",web3.career,Other,Senior,False,USA,,3
Crypto Threat Analyst,Jack &amp; Jill,"Washington,United States",web3.career,Research/Analyst,Mid,False,USA,,3
Crypto Research Analyst Institutional Focus,Token Relations,"New York,NY,United States",web3.career,Research/Analyst,Mid,False,USA,,3
Copywriter Web3 Academy,GoMining,Remote,web3.career,Other,Mid,True,Remote,,0
Principal Product Manager Onchain FX,Circle,"Washington,United States",web3.career,Product Manager,Senior,False,USA,,3
Account Executive Event Sponsorship Sales,Blockchain Futurist Conference,Remote,web3.career,Other,Mid,True,Remote,,0
Senior Software Architect Blockchain DeFi,Ledger,"Paris,France",web3.career,DeFi Engineer,Senior,False,Other,,0
Enterprise Education Engineer,Solana Foundation,Remote,web3.career,Other,Mid,True,Remote,,0
Head Of Sales,0x,Remote,web3.career,Executive/Lead,Lead,True,Remote,,0
PR Manager 100% Remote,Tether,"Hanoi,Vietnam",web3.career,Other,Mid,False,Other,,0
VIP Account Advisor,Bitso,MÃ©xico,web3.career,Other,Mid,False,Other,,0
Technical Product Manager,Superstate,"New York,NY,United States",web3.career,Product Manager,Mid,False,USA,,3
Talent Lead,LI.FI,Remote,web3.career,Executive/Lead,Lead,True,Remote,,0
Operations Associate Sportsbook Support Specialist,Magic Eden,"Krakow,Poland",web3.career,Other,Mid,False,Other,,0
National Field Training Manager Psychiatry Training Account Executive,abbvie,"Newark, NJ",web3.career,Other,Mid,False,Other,,0
Technical Product Manager,Albert Bow,"New York,NY,United States",web3.career,Product Manager,Mid,False,USA,,3
Fullstack Engineer Wallets Minting US,Crossmint,"Miami,FL,United States",web3.career,Full Stack Developer,Mid,False,USA,,3
Frontend Senior Engineer,Hive Labs,"New York,NY,United States",web3.career,Frontend Developer,Senior,False,USA,,3
Senior Staff DevOps Engineer MetaMask,Consensys,Remote,web3.career,DevOps/Infrastructure,Senior,True,Remote,,0
CoFounder — Web3 Fashion,Rise and Fame,"New York,NY,United States",web3.career,Other,Mid,False,USA,,3
Senior HR Systems People Operations Specialist,Consensys,Remote,web3.career,Other,Senior,True,Remote,,0
Mobile Live Operations Producer,Limit Break,United States,web3.career,Other,Mid,False,USA,,3
Sportsbetting Support Lead,Magic Eden,"Melbourne,Australia",web3.career,Executive/Lead,Lead,False,Other,,0
Blockchain Consultant,Non Fungible Technology,United States,web3.career,Other,Mid,False,USA,,3
Lead Generation Specialist Web3 AI Domain Americas,ChainGPT,Remote,web3.career,Data/AI,Lead,True,Remote,,0
Manager National Field Training Retina,abbvie,"Irvine,CA,United States",web3.career,Other,Mid,False,USA,,3
Expert Advisor: Banking Digital Assets,webfx.com,United States,web3.career,Other,Mid,False,USA,,3
Lead Generation Specialist Web3 AI Domain Europe,ChainGPT,Remote,web3.career,Data/AI,Lead,True,Remote,,0
Lead Generation Specialist Web3 AI Domain Middle East,ChainGPT,Remote,web3.career,Data/AI,Lead,True,Remote,,0
Lead Generation Specialist Web3 AI Domain Asia,ChainGPT,Remote,web3.career,Data/AI,Lead,True,Remote,,0
Senior Rust Software Engineer Lowlatency Networking,Triton One,Remote,web3.career,Rust/Solana Developer,Senior,True,Remote,,0
Lead Generation Specialist Web3 AI Domain Africa,ChainGPT,Remote,web3.career,Data/AI,Lead,True,Remote,,0
CoFounder Equity Based Luxury Sustainability Web3,Rise and Fame,"Los Angeles,CA,United States",web3.career,Designer,Mid,False,USA,,3
Exchange Platm Operations Manager,Kraken,United States,web3.career,Other,Mid,False,USA,,3
Rust Engineer Platm Trading,Keyrock,"Brussels,Belgium",web3.career,Rust/Solana Developer,Mid,False,Other,,0
Marketing Artist,RoofStacks,İstanbul,web3.career,Marketing/Growth,Mid,False,Other,,0
CoFounder Equity Based,Rise and Fame,"Los Angeles,CA,United States",web3.career,Designer,Mid,False,USA,,3
Technical Customer Growth Manager Korea,Immutable,South Korea,web3.career,Marketing/Growth,Mid,False,Other,,0
CoFounder Equity Based Fashion Sustainability Web3,Rise and Fame,"New York,NY,United States",web3.career,Designer,Mid,False,USA,,3
CoFounder EquityBased — Fashion Sustainability Web3,Rise and Fame,"Los Angeles,CA,United States",web3.career,Designer,Mid,False,USA,,3
Senior Backend Engineer MetaMask OffChain,Consensys,Remote,web3.career,Backend Developer,Senior,True,Remote,,0
Marketing Analytics Manager,Consensys,Remote,web3.career,Marketing/Growth,Mid,True,Remote,,0
HR Operations Payroll Specialist Remote Hybrid EMEA,Keyrock,"Brussels,Belgium",web3.career,Other,Mid,False,Other,,0
Junior FP A Analyst Digital Assets UK or EU Remote,Keyrock,"London,United Kingdom",web3.career,Research/Analyst,Junior,False,UK,,3
Senior Product Manager MetaMask Assets,Consensys,Remote,web3.career,Product Manager,Senior,True,Remote,,0
Corporate Associate – Crypto Blockchain,TPO search,"New York,NY,United States",web3.career,Other,Mid,False,USA,,3
Manager National Field Training Gastro,abbvie,"Mettawa, IL",web3.career,Other,Mid,False,Other,,0
Game Developer,Shields Group Search,"San Francisco,CA,United States",web3.career,Other,Mid,False,USA,,3
Blockchain Engineer,Consensys,Remote,web3.career,Blockchain Developer,Mid,True,Remote,,0
Game Community Lead Revenue Share Remote,3METAD,"San Jose,CA,United States",web3.career,Community,Lead,False,USA,,3
Content Operations Manager,Crypto.com,"Hong Kong,Hong Kong",web3.career,Marketing/Growth,Mid,False,Hong Kong,,0
Senior Software Engineer MetaMask Growth,Consensys,Remote,web3.career,Marketing/Growth,Senior,True,Remote,,0
CoFounder EquityBased — Fashion Web3,Rise and Fame,"Los Angeles,CA,United States",web3.career,Designer,Mid,False,USA,,3
Senior Software Engineer MetaMask Advanced Trading,Consensys,Remote,web3.career,Other,Senior,True,Remote,,0
Senior Web3 + Gaming Engineer,Shields Group Search,"San Francisco,CA,United States",web3.career,Blockchain Developer,Senior,False,USA,,3
Manager National Field Training Immunology Account Executives,abbvie,United States,web3.career,Other,Mid,False,USA,,3
Web Developer Revenue Share Remote,3METAD,"San Jose,CA,United States",web3.career,Other,Mid,False,USA,,3
